,blockname,start_date,channel,raw_au
54,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405C,0.37762284
55,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405C,0.38702276
56,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405C,0.39641103
57,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405C,0.40577543
58,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405C,0.41510355
59,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405C,0.4243842
60,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.25445986
61,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.25562075
62,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.25707653
63,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.25880703
64,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.26079023
65,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.26300272
66,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.26542014
67,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.26801714
68,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.2707681
69,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.27364716
70,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.27662855
71,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.27968678
72,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.28279674
73,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.2859341
74,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.28907493
75,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.2921966
76,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.2952769
77,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.29829466
78,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.3012299
79,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.30406353
